project_scale_tier,project_complexity_tier,planned_budget,planned_duration,scope_variability_index,stakeholder_multiplicity_index,financial_uncertainty,technical_uncertainty,environmental_uncertainty,planning_maturity_score,contract_type,contingency_buffer_ratio,team_experience_score,supplier_dependency_index,regulatory_complexity_score,cost_overrun_pct,schedule_overrun_pct,log_planned_budget,log_planned_duration,complexity_x_uncertainty,scale_x_planning_maturity,stakeholder_x_governance,scope_x_technical_uncertainty,composite_risk_index
large,low,24262095.17021117,520.1014302979943,0.2175702263707475,0.485152565140402,0.24990570143998164,0.19038845240708724,0.1317391422643295,0.7741360036608509,cost_reimbursable,0.024940502763237376,0.45095872897484773,0.7676599575367189,0.3080808531682583,0.06482804252960545,0.080104298617295,17.004425820909017,6.254023850819457,0.06699680578012097,9.002601640109456,0.10957849719680056,0.04142285868858626,0.19067776537046613
medium,low,5733274.911061809,189.00842333908383,0.35683843184365027,0.32490223074201957,0.1356938901051139,0.23000464892008354,0.2983410872963486,0.44235957179985386,target_cost,0.40582383293220153,0.5994488085383782,0.22298900493485072,0.15634379705245374,-0.06607694009008672,-0.033468325523605416,15.561797463132574,5.241791581998182,0.07545046913859857,4.601333370952086,0.18117861907416247,0.08207449823739194,0.221346542107182
large,moderate,44007131.27661224,295.85879416879305,0.6463355914476842,0.27213852889053225,0.3316035706716336,0.2367484620091443,0.532786511945115,0.7899429866659845,target_cost,0.2907728844964401,0.8947516139542092,0.4056767217153741,0.23611051470192573,-0.03295142148517202,0.017274477464930025,17.599862253218348,5.689882293774019,0.16856120935762847,9.198785183069488,0.057164606591857896,0.15301895721700987,0.3670461815419643
medium,high,11138678.60000869,229.90828678173895,0.34838888620958086,0.7747107733063484,0.8394167356676554,0.15988339717309932,0.2681290130161435,0.7347008997584376,fixed_price,0.33670811670290834,0.7471498500121002,0.1810827146748127,0.08258183753507248,-0.03511758341250409,0.06561382767726799,16.225934167834314,5.437680476277154,0.2372415403620746,7.95813858552438,0.2055300711056193,0.05570159866454012,0.4224763819522994
small,low,1501168.9765230296,156.33297030662672,0.20650358165604082,0.4504325095367239,0.5453762118167095,0.15852896467086175,0.4071920341208861,0.9911598985178274,target_cost,0.11262332044620976,0.8068638817670325,0.6541814350345813,0.2420344543284949,-0.15000000000000005,-0.17999999999999997,14.22175468024411,5.051988157643022,0.121653309745384,9.551680497629457,0.0039818690951743275,0.03273679900075691,0.37036573686948576
large,high,,,0.4634381912230522,0.5422016525568433,0.2576581668188598,0.8304645054851161,,0.8615206750109011,cost_reimbursable,0.4200726299630957,0.32522243009191615,0.5358251497666512,0.5176809022326139,0.09135882350720646,0.07478779490905678,,,,,0.07508371885404558,0.3848689682969687,
large,low,39090422.100173764,289.7517300233878,0.12165899269537159,0.3515668412360278,0.37829293966148136,0.06746818221996402,0.38107034132222023,0.5425674335077741,cost_reimbursable,0.08913251616900753,0.7959517329640741,0.17601009824786232,0.24881131486711305,0.06250809285152618,0.0966228757500204,17.48138803587338,5.669024452947119,0.0652130014492123,6.280329944352831,0.1608181224801611,0.008208111087868602,0.2756104877345552
large,low,19185324.481618576,144.2022327123057,0.3911095434393472,0.22833809554440226,0.3866570196006603,0.29030661755503134,1e-06,0.28303908709717285,fixed_price,0.35432725074356697,0.7301710634123834,0.29392805824127094,0.38930754751953595,0.04861517136736232,0.0650036164644612,16.769656194817976,4.9712167081727685,0.06989069102693063,3.076758409579081,0.1637094894320076,0.11354168864936948,0.2256548790518972
small,moderate,1601613.8357842236,155.90406406050448,0.3553619987106298,0.42405258535731555,0.06076586472552539,0.22478788711210881,0.49206940722838277,0.6341730294387549,cost_reimbursable,0.2042792586766924,0.5551274242725595,0.2295780425688572,0.27857031640271024,-0.04304652152465675,-0.02216723350513971,14.286522326232193,5.049240844104357,0.10101513851417357,6.131109753121316,0.15512987265993056,0.0798810728500984,0.25920771968867234
medium,moderate,7622296.338569015,374.6565363020807,0.19725858958488468,0.32614231742156824,0.12428901972745202,0.3536071560946494,0.22538784919523155,0.6969067119723553,target_cost,0.22936590062307988,0.6763993668182045,0.5688850057740519,0.5605172633122566,-0.028414284244719645,-0.03639156369754141,15.846588239031586,5.926009703080342,0.06134991609620351,7.5867348214666475,0.0988515473522589,0.0697520488783527,0.234428008339111
medium,low,12211493.00822581,169.36108780660513,0.32476930219520883,0.2289474275345123,0.45550825831702746,0.019248764917119826,0.34003541542101534,0.46656855749309345,target_cost,0.0497375360546892,0.7988343271058671,0.2582154334585656,,-0.0315124726696155,-0.04453988388376883,16.317888116107575,5.132033049849234,0.07519403409010685,5.003929388370521,0.12212775652798036,0.006251407950252623,0.27159747955172087
large,high,21544017.36690691,127.73987250345306,0.32965067125515546,0.19241603072109598,0.19030460573125918,0.47702037903432665,0.5916052387392963,0.7999435569310387,target_cost,0.10471389152427169,0.4253803748800814,0.07121863239022248,0.3710777457397657,-0.07849076456782059,-0.04440081272989761,16.88560871958664,4.849995950038793,0.10954092496723648,8.693628455733531,0.03849406669551045,0.15725008815105446,0.4196434078349607
medium,high,2791138.3455553027,209.25554462537028,0.25532049340752505,0.699606953824225,0.3267921908739534,0.7226808748579899,0.3211637476871637,0.6261756205180988,hybrid_other,0.3121931784357132,0.7230760612295484,0.18592027912808168,0.15368532074189528,-0.04288001143179627,0.07547402166098592,14.841960079744052,5.343556206630812,0.21814311888669471,6.3198390930494845,0.261530135394564,0.18451523754492385,0.45687893780636896
large,moderate,10890150.52241756,208.17193181840352,0.3330984650394646,0.4902482820354342,0.3792294635642891,0.18806598800139568,0.23329609640479576,0.5596104322416693,hybrid_other,0.19193514786450663,0.44673661194008013,0.23809599819777263,0.3262427217450015,0.02176422097354899,0.07312637826241963,16.20336931689053,5.338364333540368,0.10986074112619214,6.027489439676274,0.21590022901984907,0.06264449192939527,0.2668638493234935
medium,low,3779511.042197445,125.79583345573901,0.17205536510930247,0.32975318023390005,,0.2262836920313206,0.15404856540415998,0.5842282243886485,hybrid_other,0.366315411948515,0.5281558739361525,0.5224308297617108,0.28713630222719827,-0.03860035943133928,-0.08146408661532827,15.145105205312811,4.8346602233342155,,5.836371440040079,0.13710206525933863,0.038933323250729825,
small,moderate,1001643.5777675612,127.82096270478645,0.22751657699462247,0.4749771265853948,0.2486772078939694,,0.3324181602257084,0.45358982828791095,target_cost,0.1780113042902106,0.924152433435123,0.26407383986058053,0.35497688587941745,-0.09429906465411231,-0.0781997659049802,13.817152786536033,4.850630555916402,,4.233758320409462,0.2595323332968402,,
medium,moderate,,181.60275744221653,0.32425189844023716,0.6952260605773687,0.32438293107832594,0.1605950735471874,0.6941063380637382,0.4155240233987918,hybrid_other,0.006950066398185695,0.6397981578131124,0.5859258567811783,0.6459138343785327,0.14778745331209137,0.10701880492729554,,5.20182165020509,0.2003417498657423,,0.4063429307145683,0.05207325747782503,0.39302811422975054
small,low,1068517.060221672,81.83921173901817,0.29569136535475876,0.25820009642216424,0.26331345051237004,0.0641093538381615,0.22081301773638756,0.29918325171883753,cost_reimbursable,0.13460218452379047,0.7862511827703335,0.1892300382504636,0.8464701059163503,-0.00935000214728008,-0.028848974812729272,13.881782320129245,4.404756489864559,0.050610523482366124,2.735513071928334,0.18095095198046376,0.01895658236841732,0.18274527402897303
large,moderate,20471974.698081486,230.4785378817097,0.3700907761329086,0.1665612785274512,0.21120894207481816,,0.4842721057741876,0.4942374115827088,fixed_price,0.6721806158689393,0.8472949415783997,0.2821312233194987,0.5985154159891913,0.00016329161084189056,0.0667599535980792,16.834567420892974,5.4401577469593345,,5.504501255337772,0.08424046335813709,,
medium,moderate,4864504.11737153,172.48916485922337,0.45471590259392597,0.5316217232327992,0.2112179313358141,0.3436082479870588,0.3671336309067692,0.8237936171040131,target_cost,0.21229844900294995,0.550044546501488,0.4817196586176947,0.581367862965675,-0.02617232459322374,-0.07134607428907708,15.397475339809334,5.150334422088333,0.15156060838826055,8.463577263659415,0.09367514091978299,0.156244134622153,0.30731993674321406
medium,high,5785908.280134003,139.24204907813183,0.7066641736037226,0.45606669691195795,0.5658416833001607,0.21887849338809312,0.22931122320292152,0.5159738135516195,fixed_price,0.04406765479615149,0.9029746486991223,0.4704993794828577,0.24839284723824226,0.005610740397230145,0.05370518069501403,15.570935912359044,4.936213778995053,0.19650760205428341,5.290576115660945,0.22074822407240438,0.1546735896497247,0.3380104666303918
