project_scale_tier,project_complexity_tier,planned_budget,planned_duration,scope_variability_index,stakeholder_multiplicity_index,financial_uncertainty,technical_uncertainty,environmental_uncertainty,planning_maturity_score,contract_type,contingency_buffer_ratio,team_experience_score,supplier_dependency_index,regulatory_complexity_score,cost_overrun_pct,schedule_overrun_pct
large,low,24262095.17021117,520.1014302979943,0.2175702263707475,0.485152565140402,0.24990570143998164,0.19038845240708724,0.1317391422643295,0.7741360036608509,cost_reimbursable,0.024940502763237376,0.45095872897484773,0.7676599575367189,0.3080808531682583,0.06482804252960545,0.080104298617295
medium,low,5733274.911061809,189.00842333908383,0.35683843184365027,0.32490223074201957,0.1356938901051139,0.23000464892008354,0.2983410872963486,0.44235957179985386,target_cost,0.40582383293220153,0.5994488085383782,0.22298900493485072,0.15634379705245374,-0.06607694009008672,-0.033468325523605416
large,moderate,44007131.27661224,295.85879416879305,0.6463355914476842,0.27213852889053225,0.3316035706716336,0.2367484620091443,0.532786511945115,0.7899429866659845,target_cost,0.2907728844964401,0.8947516139542092,0.4056767217153741,0.23611051470192573,-0.03295142148517202,0.017274477464930025
medium,high,11138678.60000869,229.90828678173895,0.34838888620958086,0.7747107733063484,0.8394167356676554,0.15988339717309932,0.2681290130161435,0.7347008997584376,fixed_price,0.33670811670290834,0.7471498500121002,0.1810827146748127,0.08258183753507248,-0.03511758341250409,0.06561382767726799
small,low,1501168.9765230296,156.33297030662672,0.20650358165604082,0.4504325095367239,0.5453762118167095,0.15852896467086175,0.4071920341208861,0.9911598985178274,target_cost,0.11262332044620976,0.8068638817670325,0.6541814350345813,0.2420344543284949,-0.15000000000000005,-0.17999999999999997
large,high,,,0.4634381912230522,0.5422016525568433,0.2576581668188598,0.8304645054851161,,0.8615206750109011,cost_reimbursable,0.4200726299630957,0.32522243009191615,0.5358251497666512,0.5176809022326139,0.09135882350720646,0.07478779490905678
large,low,39090422.100173764,289.7517300233878,0.12165899269537159,0.3515668412360278,0.37829293966148136,0.06746818221996402,0.38107034132222023,0.5425674335077741,cost_reimbursable,0.08913251616900753,0.7959517329640741,0.17601009824786232,0.24881131486711305,0.06250809285152618,0.0966228757500204
large,low,19185324.481618576,144.2022327123057,0.3911095434393472,0.22833809554440226,0.3866570196006603,0.29030661755503134,1e-06,0.28303908709717285,fixed_price,0.35432725074356697,0.7301710634123834,0.29392805824127094,0.38930754751953595,0.04861517136736232,0.0650036164644612
small,moderate,1601613.8357842236,155.90406406050448,0.3553619987106298,0.42405258535731555,0.06076586472552539,0.22478788711210881,0.49206940722838277,0.6341730294387549,cost_reimbursable,0.2042792586766924,0.5551274242725595,0.2295780425688572,0.27857031640271024,-0.04304652152465675,-0.02216723350513971
medium,moderate,7622296.338569015,374.6565363020807,0.19725858958488468,0.32614231742156824,0.12428901972745202,0.3536071560946494,0.22538784919523155,0.6969067119723553,target_cost,0.22936590062307988,0.6763993668182045,0.5688850057740519,0.5605172633122566,-0.028414284244719645,-0.03639156369754141
medium,low,12211493.00822581,169.36108780660513,0.32476930219520883,0.2289474275345123,0.45550825831702746,0.019248764917119826,0.34003541542101534,0.46656855749309345,target_cost,0.0497375360546892,0.7988343271058671,0.2582154334585656,,-0.0315124726696155,-0.04453988388376883
large,high,21544017.36690691,127.73987250345306,0.32965067125515546,0.19241603072109598,0.19030460573125918,0.47702037903432665,0.5916052387392963,0.7999435569310387,target_cost,0.10471389152427169,0.4253803748800814,0.07121863239022248,0.3710777457397657,-0.07849076456782059,-0.04440081272989761
medium,high,2791138.3455553027,209.25554462537028,0.25532049340752505,0.699606953824225,0.3267921908739534,0.7226808748579899,0.3211637476871637,0.6261756205180988,hybrid_other,0.3121931784357132,0.7230760612295484,0.18592027912808168,0.15368532074189528,-0.04288001143179627,0.07547402166098592
large,moderate,10890150.52241756,208.17193181840352,0.3330984650394646,0.4902482820354342,0.3792294635642891,0.18806598800139568,0.23329609640479576,0.5596104322416693,hybrid_other,0.19193514786450663,0.44673661194008013,0.23809599819777263,0.3262427217450015,0.02176422097354899,0.07312637826241963
medium,low,3779511.042197445,125.79583345573901,0.17205536510930247,0.32975318023390005,,0.2262836920313206,0.15404856540415998,0.5842282243886485,hybrid_other,0.366315411948515,0.5281558739361525,0.5224308297617108,0.28713630222719827,-0.03860035943133928,-0.08146408661532827
small,moderate,1001643.5777675612,127.82096270478645,0.22751657699462247,0.4749771265853948,0.2486772078939694,,0.3324181602257084,0.45358982828791095,target_cost,0.1780113042902106,0.924152433435123,0.26407383986058053,0.35497688587941745,-0.09429906465411231,-0.0781997659049802
medium,moderate,,181.60275744221653,0.32425189844023716,0.6952260605773687,0.32438293107832594,0.1605950735471874,0.6941063380637382,0.4155240233987918,hybrid_other,0.006950066398185695,0.6397981578131124,0.5859258567811783,0.6459138343785327,0.14778745331209137,0.10701880492729554
small,low,1068517.060221672,81.83921173901817,0.29569136535475876,0.25820009642216424,0.26331345051237004,0.0641093538381615,0.22081301773638756,0.29918325171883753,cost_reimbursable,0.13460218452379047,0.7862511827703335,0.1892300382504636,0.8464701059163503,-0.00935000214728008,-0.028848974812729272
large,moderate,20471974.698081486,230.4785378817097,0.3700907761329086,0.1665612785274512,0.21120894207481816,,0.4842721057741876,0.4942374115827088,fixed_price,0.6721806158689393,0.8472949415783997,0.2821312233194987,0.5985154159891913,0.00016329161084189056,0.0667599535980792
medium,moderate,4864504.11737153,172.48916485922337,0.45471590259392597,0.5316217232327992,0.2112179313358141,0.3436082479870588,0.3671336309067692,0.8237936171040131,target_cost,0.21229844900294995,0.550044546501488,0.4817196586176947,0.581367862965675,-0.02617232459322374,-0.07134607428907708
medium,high,5785908.280134003,139.24204907813183,0.7066641736037226,0.45606669691195795,0.5658416833001607,0.21887849338809312,0.22931122320292152,0.5159738135516195,fixed_price,0.04406765479615149,0.9029746486991223,0.4704993794828577,0.24839284723824226,0.005610740397230145,0.05370518069501403
small,high,3943985.2403465672,63.83522452637748,0.49946176638485384,0.4371295222600645,0.5549328367601181,0.7890499719150944,0.17882901865670603,0.509534207656484,cost_reimbursable,0.46042138806381433,0.7165586445194855,0.44501554830150475,0.43606297037310227,0.08803386970696703,0.08137519012383235
large,high,41625051.62497975,261.641364277102,0.5280242295610925,0.1957858150889748,0.41894465029334693,0.569554301815136,0.7272918086671273,0.6038347259054273,hybrid_other,0.29133110822431846,0.8085565499348817,0.4349771275352414,0.4593355120457402,0.09095992278912832,0.11158139362655735
large,moderate,29751416.311843522,342.351178964708,0.3561672333616088,0.4976943206647685,0.08343063504660045,0.6073459780040078,0.7883338804783933,0.6571804640568178,target_cost,0.20234295067205804,0.5331733454219042,0.5053427208187222,0.4976361876230004,0.06874594078705716,0.10298996278538668
large,low,23214005.366781615,278.3164048047098,0.5321529240365234,0.22211560550618586,0.08541850421126376,0.4724627790281423,0.027536961879023186,0.6156146893546683,fixed_price,0.4405069115284353,0.916893591920197,0.6022338153380592,0.48762971443011055,-0.0030419119287412246,-0.003927547114439391
small,moderate,1582820.6241174855,56.52011320313959,0.2325271346364814,0.5714679411843497,0.4981891811912313,0.20013716964438624,0.20444220595947704,0.2805777756221296,fixed_price,0.06792246833414321,0.7155285681662192,0.2588961155534698,0.1914503447150704,-0.05926840933203332,-0.019499952966706407
medium,moderate,8627179.325414464,243.62395015452879,0.36924132290577216,0.33389993979145843,0.31785464910097616,0.48118613637992397,0.2649673012958574,0.8797737216021242,cost_reimbursable,0.4371577890059876,0.857554605030323,0.6276304874395032,0.3814635239782206,0.018250802769871902,0.007200834804577595
small,low,2686548.70397896,33.263989824777106,0.3231511657673314,0.31649778496513137,0.07898395111107627,0.2674533795419297,0.11569056134763075,0.2107421743588232,target_cost,0.10764396822460862,0.9853523586480915,0.4618727606791735,0.8244974199633551,-0.0710913254477475,-0.026615522989620968
small,moderate,1236801.1626078747,83.21719007702298,0.1695621903525328,0.18349813409945348,0.4865254624922494,0.3900843492141301,0.5710734056705379,0.6098030005815137,target_cost,0.12367358597652442,0.7085546389190617,0.6565376382130554,0.7415014952000015,-0.04957162978113196,0.00862030736813055
medium,high,7414662.323882242,,0.1910391707511983,0.32424147660839614,0.505933837450149,0.48316637750963315,0.3811158745534676,0.6622889578061383,target_cost,0.10714469402912272,0.31689493378131506,0.6345342653946785,0.29285842080895813,-0.05597178014306269,-0.02859062045491048
medium,high,2529564.7853240133,174.03763190536182,0.407426992368475,0.6418534021540842,0.41709324637814027,0.5939397105595288,0.3640099456832885,0.5650501299844362,fixed_price,0.23393722307047404,0.8979712610563992,0.43347873103097334,0.5574813504572259,0.005093238136544415,-0.008059869440212952
