threshold,precision,recall,f1,tp,fp,tn,fn,target,model
0.1,0.8108108108108109,0.6818181818181818,0.7407407407407407,30,7,449,14,cost_overrun_pct,linear_regression
0.15,0.8181818181818182,0.5,0.6206896551724138,9,2,480,9,cost_overrun_pct,linear_regression
0.1,0.8518518518518519,0.5227272727272727,0.647887323943662,23,4,452,21,cost_overrun_pct,random_forest
0.15,1.0,0.16666666666666666,0.2857142857142857,3,0,482,15,cost_overrun_pct,random_forest
0.1,0.8529411764705882,0.6590909090909091,0.7435897435897436,29,5,451,15,cost_overrun_pct,xgboost
0.15,1.0,0.3333333333333333,0.5,6,0,482,12,cost_overrun_pct,xgboost
0.1,0.8823529411764706,0.7142857142857143,0.7894736842105263,45,6,431,18,schedule_overrun_pct,linear_regression
0.15,0.782608695652174,0.6,0.6792452830188679,18,5,465,12,schedule_overrun_pct,linear_regression
0.1,0.8205128205128205,0.5079365079365079,0.6274509803921569,32,7,430,31,schedule_overrun_pct,random_forest
0.15,0.7142857142857143,0.3333333333333333,0.45454545454545453,10,4,466,20,schedule_overrun_pct,random_forest
0.1,0.78,0.6190476190476191,0.6902654867256637,39,11,426,24,schedule_overrun_pct,xgboost
0.15,0.7727272727272727,0.5666666666666667,0.6538461538461539,17,5,465,13,schedule_overrun_pct,xgboost
