feature,importance,model_name,target_group
planned_budget,0.18849526800700206,cost_overrun_pct__random_forest,cost
log_planned_budget,0.18079246158612697,cost_overrun_pct__random_forest,cost
planning_maturity_score,0.14919427273174563,cost_overrun_pct__random_forest,cost
stakeholder_x_governance,0.1052400978360152,cost_overrun_pct__random_forest,cost
contract_type,0.0995038448442907,cost_overrun_pct__random_forest,cost
complexity_x_uncertainty,0.07138357515331466,cost_overrun_pct__random_forest,cost
project_scale_tier,0.03704438018729392,cost_overrun_pct__random_forest,cost
scope_x_technical_uncertainty,0.019177876277275588,cost_overrun_pct__random_forest,cost
composite_risk_index,0.01691658813044822,cost_overrun_pct__random_forest,cost
scope_variability_index,0.015984102082611043,cost_overrun_pct__random_forest,cost
planned_duration,0.01543022234210654,cost_overrun_pct__random_forest,cost
log_planned_duration,0.014161693647830577,cost_overrun_pct__random_forest,cost
team_experience_score,0.012387705911961294,cost_overrun_pct__random_forest,cost
regulatory_complexity_score,0.011605240624094139,cost_overrun_pct__random_forest,cost
supplier_dependency_index,0.011332850908477703,cost_overrun_pct__random_forest,cost
financial_uncertainty,0.009239490242700127,cost_overrun_pct__random_forest,cost
scale_x_planning_maturity,0.009157055111684156,cost_overrun_pct__random_forest,cost
technical_uncertainty,0.007133872885063402,cost_overrun_pct__random_forest,cost
contingency_buffer_ratio,0.006929648085334374,cost_overrun_pct__random_forest,cost
stakeholder_multiplicity_index,0.0068539275595105465,cost_overrun_pct__random_forest,cost
environmental_uncertainty,0.006129866930042618,cost_overrun_pct__random_forest,cost
project_complexity_tier,0.005905958915070507,cost_overrun_pct__random_forest,cost
