feature,importance,model_name,target_group
project_scale_tier,0.43453565,cost_overrun_pct__xgboost,cost
project_complexity_tier,0.15120468,cost_overrun_pct__xgboost,cost
contract_type,0.112883404,cost_overrun_pct__xgboost,cost
log_planned_budget,0.0627187,cost_overrun_pct__xgboost,cost
planned_budget,0.05014357,cost_overrun_pct__xgboost,cost
planning_maturity_score,0.043020826,cost_overrun_pct__xgboost,cost
stakeholder_x_governance,0.040679313,cost_overrun_pct__xgboost,cost
complexity_x_uncertainty,0.028786162,cost_overrun_pct__xgboost,cost
planned_duration,0.018259602,cost_overrun_pct__xgboost,cost
scope_x_technical_uncertainty,0.010417147,cost_overrun_pct__xgboost,cost
composite_risk_index,0.009782797,cost_overrun_pct__xgboost,cost
scale_x_planning_maturity,0.009207318,cost_overrun_pct__xgboost,cost
team_experience_score,0.004700528,cost_overrun_pct__xgboost,cost
log_planned_duration,0.0046133962,cost_overrun_pct__xgboost,cost
scope_variability_index,0.0042370707,cost_overrun_pct__xgboost,cost
regulatory_complexity_score,0.0038550354,cost_overrun_pct__xgboost,cost
supplier_dependency_index,0.0037085167,cost_overrun_pct__xgboost,cost
financial_uncertainty,0.0025728,cost_overrun_pct__xgboost,cost
technical_uncertainty,0.0013279277,cost_overrun_pct__xgboost,cost
stakeholder_multiplicity_index,0.0012743666,cost_overrun_pct__xgboost,cost
environmental_uncertainty,0.0011216071,cost_overrun_pct__xgboost,cost
contingency_buffer_ratio,0.00094966963,cost_overrun_pct__xgboost,cost
