feature,importance,model_name,target_group
planning_maturity_score,0.14938488646044656,schedule_overrun_pct__random_forest,schedule
stakeholder_x_governance,0.14421070499070396,schedule_overrun_pct__random_forest,schedule
log_planned_budget,0.1316537634639884,schedule_overrun_pct__random_forest,schedule
planned_budget,0.12705619122759804,schedule_overrun_pct__random_forest,schedule
project_scale_tier,0.12476833961344987,schedule_overrun_pct__random_forest,schedule
contract_type,0.07684347982592073,schedule_overrun_pct__random_forest,schedule
complexity_x_uncertainty,0.06482973463924832,schedule_overrun_pct__random_forest,schedule
scope_x_technical_uncertainty,0.028952556447689376,schedule_overrun_pct__random_forest,schedule
scope_variability_index,0.018089303673080304,schedule_overrun_pct__random_forest,schedule
composite_risk_index,0.01584043422865154,schedule_overrun_pct__random_forest,schedule
team_experience_score,0.013907703483933814,schedule_overrun_pct__random_forest,schedule
supplier_dependency_index,0.013210258955380076,schedule_overrun_pct__random_forest,schedule
planned_duration,0.01188376534651285,schedule_overrun_pct__random_forest,schedule
log_planned_duration,0.011790492943991992,schedule_overrun_pct__random_forest,schedule
regulatory_complexity_score,0.01076271560237315,schedule_overrun_pct__random_forest,schedule
scale_x_planning_maturity,0.01042318675565559,schedule_overrun_pct__random_forest,schedule
financial_uncertainty,0.009528925312393117,schedule_overrun_pct__random_forest,schedule
stakeholder_multiplicity_index,0.008686611243361678,schedule_overrun_pct__random_forest,schedule
contingency_buffer_ratio,0.008469807991515916,schedule_overrun_pct__random_forest,schedule
technical_uncertainty,0.008419055136010753,schedule_overrun_pct__random_forest,schedule
environmental_uncertainty,0.007767318850766278,schedule_overrun_pct__random_forest,schedule
project_complexity_tier,0.0035207638073278236,schedule_overrun_pct__random_forest,schedule
